elapsed_time,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,reward,terminated,truncated,distance,whip_target_contact,valid_side_hit,arm_tip_ground_hit,robot_ground_contact,arm_self_contact
1.12,1.5405143447922975,-1.3957243441481328,1.353211426848609,0.16897827067345814,-1.8698524538414398,0.41510529380154465,-0.7839154409509457,0,0,1.3294374586149804,0,0,0,0,0
1.1300000000000001,1.5406610826979785,-1.3879180739911894,1.3506999235707076,0.16840272320985364,-1.8663976941977822,0.42402898457871147,-0.7957899785879119,0,0,1.3293020067721324,0,0,0,0,0
1.1400000000000001,1.5401009341928862,-1.3807906308444353,1.3485332007731203,0.16808534588006932,-1.864106551693426,0.432644786578093,-0.8052993599683327,0,0,1.3292667268405407,0,0,0,0,0
1.1500000000000001,1.538848789122748,-1.3732236862864755,1.3453731348652818,0.16804657137577045,-1.8617201225054183,0.44060789857892474,-0.7980646550821506,0,0,1.3290316642571072,0,0,0,0,0
1.16,1.5381570903524593,-1.3649225266765204,1.342273315863254,0.16895978795936525,-1.8597375518898713,0.44893738643893233,-0.8057671150364794,0,0,1.3288729493651605,0,0,0,0,0
1.17,1.537809144222622,-1.3569486560483446,1.3390940222781478,0.16967669325319876,-1.8588176260480793,0.4554792146186059,-0.805036947568968,0,0,1.3286357158656412,0,0,0,0,0
1.18,1.5388807042256496,-1.3490368589895199,1.33648247301215,0.17099718337133984,-1.8571481720103267,0.46180555985333244,-0.7982293581916449,0,0,1.328337113420127,0,0,0,0,0
1.19,1.5400118332944472,-1.3405822136991163,1.3329476669018039,0.17263857926369136,-1.8563369516253383,0.46894023587666134,-0.7833892179897188,0,0,1.3280722871310804,0,0,0,0,0
1.2,1.5409945382299146,-1.3313524987986087,1.328671974239845,0.1743512448056167,-1.855614042417689,0.4757521171872939,-0.7879165073661092,0,0,1.3277737096871909,0,0,0,0,0
1.21,1.5425274033459269,-1.322266835692724,1.3240824999366427,0.17631836043781557,-1.8537866644054828,0.4818649515363278,-0.7517270191111753,0,0,1.327422768282208,0,0,0,0,0
1.22,1.5440637840553777,-1.314565482532097,1.3200496086640225,0.17912486202842526,-1.8498370573973866,0.4879254012766273,-0.740366401140405,0,0,1.3270421896177849,0,0,0,0,0
1.23,1.54464964147711,-1.3076300370704872,1.3163437773561517,0.1808726697594321,-1.845295149160217,0.49366296969148254,-0.7093326386609309,0,0,1.3265667266295285,0,0,0,0,0
1.24,1.544768250270168,-1.3005685921252845,1.3129313250324524,0.1815946702908838,-1.8407715696792266,0.500178292304672,-0.7087639690077099,0,0,1.3260804732210063,0,0,0,0,0
1.25,1.5451860158615829,-1.2936211085291187,1.3096270698095578,0.18213791654185837,-1.835680634905179,0.5064919565939947,-0.7674824957680657,0,0,1.3257219429126814,0,0,0,0,0
1.26,1.5448829072198462,-1.2867811946722993,1.3064665620139224,0.18264097751535,-1.832100541744739,0.5122191563166758,-0.6909719300240496,0,0,1.3252057070462344,0,0,0,0,0
1.27,1.5441864814182087,-1.2793812304610275,1.3031469255519446,0.18335089843637123,-1.8292047395484352,0.5179115032146104,-0.7606565734998636,0,0,1.3248446769630216,0,0,0,0,0
1.28,1.5426196920645658,-1.2720081299062362,1.3002667474786853,0.18244980225180593,-1.8255048295595007,0.5238408694977864,-0.7199377686282264,0,0,1.3244759920686613,0,0,0,0,0
1.29,1.542013672875777,-1.2643784883788147,1.2968609195858036,0.18005238617776861,-1.8220715796170839,0.5295914612919463,-0.7118286799423839,0,0,1.324041157706245,0,0,0,0,0
1.3,1.542755360702278,-1.2572114491267596,1.2925929273681556,0.17858203967692157,-1.8200170140766372,0.5347832915149018,-0.7164454244107645,0,0,1.323682007522047,0,0,0,0,0
1.31,1.5438458486656808,-1.2501300199543617,1.287339168802724,0.1783279029753347,-1.8193684380749695,0.5400104687279654,-0.6656917718622319,0,0,1.3231114567064062,0,0,0,0,0
1.32,1.5447237063292127,-1.2429126122325376,1.2818437420355655,0.17865598125357085,-1.817950699911726,0.5444133786308072,-0.6564779937506076,0,0,1.322509858067746,0,0,0,0,0
1.33,1.5443721392402268,-1.2361256947846972,1.2771100411838365,0.1795910293380176,-1.816983591584253,0.5487093013512987,-0.6711187683448268,0,0,1.3219743406092368,0,0,0,0,0
1.34,1.5435307946337733,-1.2285708410561353,1.2729737097303802,0.1822137932654453,-1.8176697601975835,0.5526397095375921,-0.6529470114418474,0,0,1.321395195266186,0,0,0,0,0
1.35,1.5433958782819552,-1.220991554453936,1.2689347254044636,0.18487833547362967,-1.8174116118129588,0.5555286605530517,-0.6995151824359112,0,0,1.320957854701681,0,0,0,0,0
1.36,1.5444920702666751,-1.2136675988460526,1.2645786020668441,0.18799799769766481,-1.8154957524370066,0.5590377821059932,-0.7127643705232696,0,0,1.320554626447834,0,0,0,0,0
1.37,1.5465545384155166,-1.2066727717601093,1.2605635381049094,0.18957853771217675,-1.8130295426359315,0.5634176832155907,-0.6931438992984307,0,0,1.320069523849199,0,0,0,0,0
1.3800000000000001,1.5480745651212577,-1.1990630825618185,1.2558807171170177,0.1903259684976065,-1.8118768349326084,0.5687841256593822,-0.6695520244191044,0,0,1.3195452545346478,0,0,0,0,0
